titles,years,ratings,location,variety
Paix Sur Terre 2018 Kiler Grove Vineyard Ugni Blanc (Paso Robles Willow Creek District),2018,95,Central Coast,"Ugni Blanc, Other White"
Zotovich 2017 Z Pinot Noir (Sta. Rita Hills),2017,94,Central Coast,Pinot Noir
Law 2016 Beyond Category Red (Adelaida District),2016,94,Central Coast,"Red Blends, Red Blends"
Laetitia 2016 Cuvée M Méthode Champenoise Sparkling (Arroyo Grande Valley),2016,94,Central Coast,"Sparkling Blend, Sparkling"
Liquid Farm 2016 Spear Vineyard Pinot Noir (Sta. Rita Hills),2016,94,Central Coast,Pinot Noir
Clos de la Tech 2014 Domaine du Docteur Rodgers Pinot Noir (San Francisco Bay),2014,94,Central Coast,Pinot Noir
Clos de la Tech 2014 Domaine du Docteur Rodgers Pinot Noir (San Francisco Bay),2014,94,Central Coast,Pinot Noir
Clos de la Tech 2014 Domaine Valeta Sunny Slope Pinot Noir (Santa Cruz Mountains),2014,94,Central Coast,Pinot Noir
Villa Creek 2017 Willow Creek Cuvée Red (Paso Robles),2017,94,Central Coast,Rhône-style Red Blend
Liquid Farm 2016 Radian Vineyard Pinot Noir (Sta. Rita Hills),2016,94,Central Coast,Pinot Noir
Laetitia 2016 Brut Rosé Méthode Champenoise Sparkling (Arroyo Grande Valley),2016,94,Central Coast,"Sparkling Blend, Sparkling"
Clos de la Tech 2014 Domaine Lois Louise Cote Sud Pinot Noir (Santa Cruz Mountains),2014,94,Central Coast,Pinot Noir
Testarossa 2016 Lone Oak Vineyard Chardonnay (Santa Lucia Highlands),2016,93,Central Coast,Chardonnay
Testarossa 2017 Tondre Grapefield Chardonnay (Santa Lucia Highlands),2017,93,Central Coast,Chardonnay
Timbre 2016 Lead Vocals Pinot Noir (Santa Maria Valley),2016,93,Central Coast,Pinot Noir
Testarossa 2016 Rosemary's Vineyard Chardonnay (Arroyo Grande Valley),2016,93,Central Coast,Chardonnay
Villa Creek 2016 Bone White (Adelaida District),2016,93,Central Coast,White Blend
Niner 2017 Pinot Noir (Edna Valley),2017,93,Central Coast,Pinot Noir
Zotovich 2017 Pinot Noir (Sta. Rita Hills),2017,93,Central Coast,Pinot Noir
Gainey 2017 Limited Selection Pinot Noir (Sta. Rita Hills),2017,93,Central Coast,Pinot Noir
Liquid Farm 2017 La Hermana Chardonnay (Santa Maria Valley),2017,93,Central Coast,Chardonnay
Grassini 2015 Cabernet Sauvignon (Happy Canyon of Santa Barbara),2015,93,Central Coast,Cabernet Sauvignon
Villa Creek 2017 Garnacha (Adelaida District),2017,93,Central Coast,"Garnacha, Grenache"
Zotovich 2018 Viognier (Sta. Rita Hills),2018,93,Central Coast,Viognier
Epiphany 2016 Revelation Rodney's Vineyard Red (Santa Barbara County),2016,93,Central Coast,Rhône-style Red Blend
Fess Parker 2017 Sanford & Benedict Vineyard Pinot Noir (Sta. Rita Hills),2017,93,Central Coast,Pinot Noir
Fess Parker 2017 Pommard Clone Pinot Noir (Sta. Rita Hills),2017,93,Central Coast,Pinot Noir
Paix Sur Terre 2018 Days Between Glenrose Vineyard Counoise (Adelaida District),2018,93,Central Coast,"Counoise, Other Red"
Fess Parker 2017 Fiddlestix Vineyard Pinot Noir (Sta. Rita Hills),2017,93,Central Coast,Pinot Noir
Longoria 2017 La Encantada Vineyard Pinot Noir (Sta. Rita Hills),2017,93,Central Coast,Pinot Noir
Niner 2017 Chardonnay (Edna Valley),2017,92,Central Coast,Chardonnay
Giornata 2018 Barbera (Paso Robles),2018,92,Central Coast,Barbera
Bernardus 2017 Gary's Vineyard Pinot Noir (Santa Lucia Highlands),2017,92,Central Coast,Pinot Noir
Niner 2018 Pinot Noir Rosé (Edna Valley),2018,92,Central Coast,Rosé
Testarossa 2016 Fogstone Vineyard Chardonnay (Santa Lucia Highlands),2016,92,Central Coast,Chardonnay
Pali 2017 Huntington Pinot Noir (Santa Barbara County),2017,92,Central Coast,Pinot Noir
Testarossa 2015 Mountain Select Red (Santa Cruz Mountains),2015,92,Central Coast,"Red Blends, Red Blends"
Testarossa 2016 Tondredre Grapefield Pinot Noir (Santa Lucia Highlands),2016,92,Central Coast,Pinot Noir
Testarossa 2016 Rosella's Vineyard Chardonnay (Santa Lucia Highlands),2016,92,Central Coast,Chardonnay
Bernardus 2017 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),2017,92,Central Coast,Pinot Noir
Paper Street 2016 Cornflower Blue Mourvèdre (Paso Robles),2016,92,Central Coast,Mourvèdre
Longoria 2017 Cuvée Diana Chardonnay (Sta. Rita Hills),2017,92,Central Coast,Chardonnay
Testarossa 2016 Brosseau Vineyard Chardonnay (Chalone),2016,92,Central Coast,Chardonnay
Zotovich 2017 Chardonnay (Sta. Rita Hills),2017,92,Central Coast,Chardonnay
Giornata 2017 French Camp Vineyard Aglianico (Paso Robles),2017,92,Central Coast,"Aglianico, Italian Red"
Liquid Farm 2017 SBC Pinot Noir (Santa Barbara County),2017,92,Central Coast,Pinot Noir
Giornata 2016 Luna Matta Vineyard Nebbiolo (Paso Robles),2016,92,Central Coast,Nebbiolo
Testarossa 2016 Soberanes Vineyard Pinot Noir (Santa Lucia Highlands),2016,92,Central Coast,Pinot Noir
Joullian 2015 Hammler The Chief Cabernet Sauvignon (Carmel Valley),2015,92,Central Coast,Cabernet Sauvignon
Opolo 2017 Summit Creek Cabernet Sauvignon (Paso Robles),2017,92,Central Coast,Cabernet Sauvignon
Rusack 2017 Mt. Carmel Vineyard Chardonnay (Sta. Rita Hills),2017,92,Central Coast,Chardonnay
Sculpterra 2018 Winemaker Signature Red (Paso Robles),2018,92,Central Coast,"Red Blends, Red Blends"
Villa Creek 2018 Grenache Blanc (Paso Robles Willow Creek District),2018,92,Central Coast,"Grenache Blanc, Other White"
Fesstivity 2016 Blanc de Blancs Sparkling (Sta. Rita Hills),2016,92,Central Coast,"Sparkling Blend, Sparkling"
Grimm's Bluff 2015 Estate Cabernet Sauvignon (Happy Canyon of Santa Barbara),2015,92,Central Coast,Cabernet Sauvignon
Paix Sur Terre 2018 Paper Street Vineyard Clairette Blanche (Paso Robles Willow Creek District),2018,92,Central Coast,"Clairette Blanche, Other White"
Wood Family Vineyards 2016 Casa de Viñas Petite Sirah (Livermore Valley),2016,92,Central Coast,Petite Sirah
Testarossa 2016 Sanford & Benedict Vineyard Pinot Noir (Sta. Rita Hills),2016,92,Central Coast,Pinot Noir
Cutruzzola 2016 Riven Rock Vineyard Riesling (San Luis Obispo County),2016,92,Central Coast,Riesling
Testarossa 2016 La Rinconada Vineyard Pinot Noir (Sta. Rita Hills),2016,92,Central Coast,Pinot Noir
Cutruzzola 2016 Riven Rock Vineyard Riesling (San Luis Obispo County),2016,92,Central Coast,Riesling
Paix Sur Terre 2017 Been Away Too Long Denner Vineyard Mourvèdre (Paso Robles Willow Creek District),2017,92,Central Coast,Mourvèdre
MCV 2017 Grenache (Paso Robles),2017,91,Central Coast,Grenache
Testarossa 2016 Pisoni Vineyard Pinot Noir (Santa Lucia Highlands),2016,91,Central Coast,Pinot Noir
MCV 2017 Red (Paso Robles),2017,91,Central Coast,"Red Blends, Red Blends"
Dubost 2017 Grenache (Adelaida District),2017,91,Central Coast,Grenache
Hahn 2017 Merlot (Central Coast),2017,91,Central Coast,Merlot
Testarossa 2016 La Rinconada Vineyard Chardonnay (Sta. Rita Hills),2016,91,Central Coast,Chardonnay
Bernardus 2017 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),2017,91,Central Coast,Pinot Noir
Midnight 2016 Moonbeam Grenache (Paso Robles),2016,91,Central Coast,Grenache
Zotovich 2017 Z Chardonnay (Sta. Rita Hills),2017,91,Central Coast,Chardonnay
Zotovich 2017 Grenache (Sta. Rita Hills),2017,91,Central Coast,Grenache
Koehler 2018 Grenache Blanc (Santa Ynez Valley),2018,91,Central Coast,"Grenache Blanc, Other White"
Testarossa 2016 Sierra Madre Vineyard Chardonnay (Santa Maria Valley),2016,91,Central Coast,Chardonnay
Testarossa 2016 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),2016,91,Central Coast,Pinot Noir
Laetitia 2016 Brut de Blancs Sparkling (Arroyo Grande Valley),2016,91,Central Coast,"Sparkling Blend, Sparkling"
